	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
238	2020-11	741	103	0	1	845	51
239	2020-12	513	156	0	3	672	38
240	2021-01	358	280	357	1	996	36
241	2021-02	313	209	143	1	666	50
242	2021-03	1294	116	92	6	1508	40
243	2021-04	7440	117	85	1	7643	49
244	2021-05	2270	84	2786	0	5140	41
245	2021-06	704	175	3035	0	3914	39
246	2021-07	4218	92	1717	0	6027	46
247	2021-08	345	87	1819	15	2266	46
248	2021-09	855	73	362	1	1291	34
249	2021-10	257	65	5	1	328	42
250	2021-11	206	199	11	0	416	46
251	2021-12	138	140	1695	0	1973	43
252	2022-01	325	67	1630	2	2024	48
253	2022-02	149	68	430	0	647	51
254	2022-03	1301	41	323	0	1665	37
255	2022-04	127	62	23	0	212	39
256	2022-05	152	104	169	0	425	37
257	2022-06	222	32	5	0	259	28
258	2022-07	205	61	35	11	312	30
259	2022-08	329	209	4	0	542	34
260	2022-09	113	344	54	0	511	39
261	2022-10	224	325	150	0	699	40
262	2022-11	183	221	84	0	488	47
263	2022-12	144	88	54	0	286	39
